1001896054,"John Deere tractors cruises down a street , while the driver wears easy to see clothing .",866,tractor,"truck,person,driving,tractor,people,sit,road","tractor,cruise,street,driver,wear,easy,clothing"
1011572216,A beautiful bride walking on a sidewalk with her new husband .,982,"groom, bridegroom","car,cell,phone,person,tie,arranging,flowers,couple,people,stand","beautiful,bride,walk,sidewalk,new,husband"
101669240,A person wearing skis looking at framed pictures set up in the snow .,795,ski,"person,ski,skiing,crosscountry,man,black,jacket,white,photo,ski","person,wear,ski,look,framed,picture,set,snow"
102998070,Three old men are watching another man prepare fish .,544,Dutch oven,"bowl,person,cooking,on,campfire,group,people,stand,table,food","old,man,watch,man,prepare,fish"
1030985833,A black dog and a brown dog are jumping up to catch a red toy .,208,Labrador retriever,"frisbee,dog,training,dog,dog,stand,grass,dog","black,dog,brown,dog,jump,catch,red,toy"
103953336,Person crossing a bridge in dim light .,839,suspension bridge,"person,playing,tennis,red,white,stand,bridge","person,cross,bridge,dim,light"
1056873310,Two dogs run towards each other on a rocky area with water in the background .,225,malinois,"dog,training,dog,brown,horse,walk,water","dog,run,rocky,area,water,background"
105806535,"A man holding a yellow ball , soaking in a wooden tub .",876,"tub, vat","bicycle,person,trimming,or,shaving,beard,woman,sit,middle,water","man,hold,yellow,ball,soak,wooden,tub"
106027774,A man asleep in a car that 's driving .,785,"seat belt, seatbelt","person,playing,xylophone,man,sit,car","man,asleep,car,drive"
1061467336,Firefighters at a scene with a firetruck that has it 's lights on .,555,"fire engine, fire truck","car,bus,person,kicking,soccer,ball,people,stand,fire,truck","firefighter,scene,firetruck,light"
106490881,A boy in his blue swim shorts at the beach .,842,"swimming trunks, bathing trunks","person,getting,a,haircut,man,stand,water,arm","boy,blue,swim,short,beach"
106514190,A skier is overlooking a snow-covered mountain .,970,alp,"backpack,person,skiing,-not,slalom,or,crosscountry-,person,ski,hill,snow,cover,background","skier,overlook,snow,cover,mountain"
1065831604,A bunch of people in racing gear and helmets racing bicycles around a corner on wet pavement .,444,"bicycle-built-for-two, tandem bicycle, tandem","bicycle,bottle,person,riding,mountain,bike,people,ride,bike,air","bunch,people,race,gear,helmet,race,bicycle,corner,wet,pavement"
107318069,A crowd watching air balloons at night .,417,balloon,"kite,person,kicking,soccer,ball,large,large,red,white,animal,background","crowd,watch,air,balloon,night"
1073444492,"Man talking on a phone , surrounded by books in an office .",454,"bookshop, bookstore, bookstall","chair,person,book,sign,language,interpreting,library,book,book,book","man,talk,phone,surround,book,office"
1087539207,The children played on the four wheeler in the field .,621,"lawn mower, mower","surfboard,motorcycle,person,swinging,on,something,man,ride,grass","child,play,wheeler,field"
108898978,Two people wearing yellow jackets crosscountry skiing .,795,ski,"backpack,person,ski,dancing,charleston,people,ski,hill","people,wear,yellow,jacket,crosscountry,skiing"
108957912,People walk across a street as utility workers fix a light .,920,"traffic light, traffic signal, stoplight","person,traffic,light,handbag,tai,chi,crowd,people,walk,street,building","people,walk,street,utility,worker,fix,light"
109202756,A woman rides a horse near a frozen lake in the winter time .,339,sorrel,"horse,person,riding,or,walking,with,horse,woman,ride,horse,snow","woman,ride,horse,frozen,lake,winter,time"
109202801,Two draft horses pull a cart through the snow .,603,"horse cart, horse-cart","horse,person,grooming,horse,horse,pull,horse,street","draft,horse,pull,cart,snow"
1092437557,Woman is enjoying herself being outdoors biking in a forrest preserve .,671,"mountain bike, all-terrain bike, off-roader","bicycle,person,riding,mountain,bike,man,ride,bike,bike","woman,enjoy,bike,forr,preserve"
109544260,Young boy sitting down outside and blowing bubbles .,971,bubble,"bottle,person,contact,juggling,young,boy,sit,ground,leg","young,boy,sit,blow,bubble"
1095476286,a boy plays in the fountains .,562,fountain,"person,tying,knot,-not,on,a,tie-,group,people,stand,water","boy,play,fountain"
1095580424,The dog is running out of the tunnel on a dog obedience course .,264,"Cardigan, Cardigan Welsh corgi","couch,dog,cutting,nails,dog,lay,beach,dog","dog,run,tunnel,dog,obedience,course"
1096395242,A little boy in orange shorts playing with a toy .,971,bubble,"sport,ball,backpack,person,hair,drier,playing,harmonica,young,child,hold,toothbrush,mouth","little,boy,orange,short,play,toy"
109656696,A little girl balances on a gymnastics beam .,416,"balance beam, beam","person,tap,dancing,young,boy,ride,skateboard","little,girl,balance,gymnastics,beam"
109738763,A snowmobile rider flies through the air on his or her machine in front of tall pine trees .,802,snowmobile,"motorcycle,person,swimming,butterfly,stroke,people,sit,road","snowmobile,rider,fly,air,machine,tall,pine,tree"
109738916,People pose with helmets and goggles on while riding snowmobiles .,802,snowmobile,"motorcycle,person,riding,mountain,bike,people,sit,red,red","people,pose,helmet,goggle,ride,snowmobile"
1099434461,A man is cooking a square pancake : he lifts it with his fingers and a spatula to check to see if it is done .,813,spatula,"pizza,cup,bottle,person,flipping,pancake,person,cut,dough,half,pizza","man,cook,square,pancake,lift,finger,spatula,check"
1100214449,A happy boy is jumping in front OD city fountain .,562,fountain,"person,juggling,soccer,ball,young,boy,trick,water","happy,boy,jump,od,city,fountain"
1101291373,A bald man in flip-flops sits on a green bench and talks on a cellphone .,703,park bench,"bench,person,handbag,sign,language,interpreting,woman,sit,bench,talk,bench","bald,man,flip,flop,sit,green,bench,talk,cellphone"
110201971,Three men seated on an elephant in a small village .,385,"Indian elephant, Elephas maximus","elephant,bench,person,riding,elephant,elephant,stand,dirt","man,seat,elephant,small,village"
1104133405,A boy carrying a soccer ball .,805,soccer ball,"bench,sport,ball,person,throwing,discus,young,boy,play,baseball","boy,carry,soccer,ball"
1105959054,An artist paints clouds onto a canvas .,696,paintbrush,"person,refrigerator,brush,painting,man,hold,board,bathroom","artist,paint,cloud,canvas"
110647073,Men are constructing a wall in the desert .,428,"barrow, garden cart, lawn cart, wheelbarrow","person,mowing,lawn,group,people,sit,bench,sand","man,construct,wall,desert"
1107246521,A black dog playing fetch with a ball of rope .,205,flat-coated retriever,"bird,dog,training,dog,dog,run,air,dog","black,dog,play,fetch,ball,rope"
1107507919,A woman in a red shirt plays a cello .,486,"cello, violoncello","chair,person,playing,cello,woman,sit,middle,water","woman,red,shirt,play,cello"
110802332,A hockey goalie is trying to prevent a goal from the opposing team .,746,"puck, hockey puck","person,ski,playing,ice,hockey,man,red,shirt,ski,snow,cover,slope","hockey,goalie,try,prevent,goal,oppose,team"
111061041,Two men in a tennis court in a city are standing on either side of the net talking to each other .,489,chainlink fence,"tennis,racket,person,hitting,baseball,group,people,play,tennis,court","man,tennis,court,city,stand,net,talk"
111537217,The young man with the white t-shirt and jeans is rappeling up the rock wall .,972,"cliff, drop, drop-off","person,rock,climbing,man,sit,rock,cell,phone","young,man,shirt,jean,rappel,rock,wall"
111766423,A black and white bird standing on a hand .,19,chickadee,"bird,person,feeding,birds,small,bird,sit,small,bird","black,white,bird,stand,hand"
111796099,A game of tennis is shown with one of the female players about to hit the ball .,752,"racket, racquet","sport,ball,chair,tennis,racket,person,playing,tennis,tennis,player,court,tennis,racket","game,tennis,show,female,player,hit,ball"
1118168796,A man looks through a large camera-like device in a field near a camper and some parked vehicles .,872,tripod,"truck,chair,person,car,bending,metal,white,image","man,look,large,camera,like,device,field,camper,park,vehicle"
1130295306,A boy wearing a rugby shirt standing next to a body of water .,975,"lakeside, lakeshore","person,handbag,riding,scooter,man,ride,river","boy,wear,rugby,shirt,stand,body,water"
1130369873,A brown dog swims through water outdoors with a tennis ball in its mouth .,211,"vizsla, Hungarian pointer","sport,ball,dog,jumping,into,pool,brown,dog,hold,dog,water","brown,dog,swim,water,tennis,ball,mouth"
1130401779,Two brown dogs in the water .,211,"vizsla, Hungarian pointer","dog,training,dog,brown,brown,dog,stand,water","brown,dog,water"
1131889107,A women 's roller derby team taking a break .,615,knee pad,"suitcase,person,handbag,brushing,teeth,group,people,sit,sidewalk,hand","woman,roller,derby,team,take,break"
1141718391,Woman and man walking across wooden rope bridge with a caution sign beside it .,839,suspension bridge,"person,handbag,presenting,weather,forecast,people,stand,middle,bridge","woman,man,walk,wooden,rope,bridge,caution,sign"
1141739219,A girl climbing down from the side of a bright blue truck while others watch .,569,"garbage truck, dustcart","truck,backpack,person,jumping,into,pool,group,people,stand,truck","girl,climb,bright,blue,truck,watch"
114410209,A young man standing in front of a red freight car holding a camera and taking a photo .,565,freight car,"train,person,pull,ups,red,red,train,train,track","young,man,stand,red,freight,car,hold,camera,take,photo"
1146490295,A man in a white shirt is talking with two men and two women sitting on a bench .,433,"bathing cap, swimming cap","bench,backpack,person,handbag,climbing,tree,group,people,sit,bench","man,white,shirt,talk,man,woman,sit,bench"
1147391743,Several African women sit in front of a hut .,830,stretcher,"person,weaving,basket,group,people,sit,sandy,beach","african,woman,sit,hut"
1148238960,People on bicycles waiting at an intersection .,880,"unicycle, monocycle","bicycle,person,pot,plant,car,backpack,traffic,light,riding,unicycle,man,ride,bike,street,people","people,bicycle,wait,intersection"
1149097018,An infant lays on a bed with it 's mouth open .,443,bib,"person,playing,drums,baby,lay,bed,baby","infant,lay,bed,mouth,open"
1149179852,A shirtless man escorts a horse pulling a carriage along a paved road .,603,"horse cart, horse-cart","horse,person,riding,or,walking,with,horse,horse,draw,carriage,pull,cart,people","shirtless,man,escort,horse,pull,carriage,paved,road"
1154080132,Three young boys are fishing at a lake .,758,reel,"backpack,person,swinging,on,something,people,stand,edge,boat","young,boy,fish,lake"
116002648,A young child is sleeping on a man 's coat on the floor .,797,sleeping bag,"bed,person,eating,cake,woman,lay,bed,dog","young,child,sleep,man,coat,floor"
1160841776,people enjoying a sunny day at the beach,978,"seashore, coast, seacoast, sea-coast","person,canoeing,or,kayaking,group,people,ride,beach,beach","people,enjoy,sunny,day,beach"
1162606352,Two girls with pots show off their cooking .,822,steel drum,"bowl,person,flipping,pancake,woman,stand,kitchen,food","girl,pot,cooking"
1164765687,A man in a red shirt is giving toys to a small dog .,201,"silky terrier, Sydney silky","bed,teddy,bear,person,dog,grooming,dog,man,lay,couch,dog","man,red,shirt,give,toy,small,dog"
